T,C,sigma
3.0,0.1916438933333382,0.008418384961928947
2.9,0.20114316247319458,0.009261681261506378
2.8,0.2375280244387116,0.010870794056702106
2.7,0.25875642447191993,0.011509191157388455
2.6,0.26639041680467906,0.011983584971629442
2.5,0.3125051975040436,0.013875109460636553
2.4,0.30705979888948304,0.01413164113300861
2.3,0.36647346691959076,0.01728115276399159
2.2,0.40587273049453065,0.016870359760262365
2.1,0.4895037039445371,0.021497238844429865
2.0,0.5196227775037289,0.022281287547205667
1.9,0.5958357894651778,0.025418106891058362
1.8,0.6554658148097403,0.030805368590859143
1.7,0.7565010932902564,0.03523218400038221
1.6,0.8935619310848415,0.041263238075786635
1.5,1.0170047288894652,0.04500982363214024
1.4,0.809812645717543,0.03837697334657548
1.3,0.6280652589064378,0.02989240193103146
1.2,0.3508906308809916,0.015713819611960927
1.1,0.47437896168921595,0.02183565687846682
1.0,0.443029948425293,0.01887727910378558
0.9,0.27524642755955825,0.013368697402893917
0.8,0.30525993764400483,0.013513796709699679
0.7,0.39142628261021206,0.026325907521612086
0.6,0.7369341680738661,0.04549074111296199
0.5,0.7713317741394043,0.061397064870274576
0.4,2.1292689990997316,0.2849958881785123
0.3,4.803551601833767,0.4975394328587288
0.2,10.154465913772583,1.4375508765394063
0.1,41.21033451080322,3.838841136948562
