T,chi
3.0,946.512788
2.9,1099.6865089655173
2.8,1186.489072857143
2.7,1221.205445925926
2.6,1425.6268246153845
2.5,1632.5255616
2.4,1699.2646933333333
2.3,1821.2246104347826
2.2,2277.763716363636
2.1,2283.271236190476
2.0,2911.735598
1.9,3320.5440652631582
1.8,3881.0023800000004
1.7,4309.683272941176
1.6,5444.592189999999
1.5,7515.259389333332
1.4,10652.626785714287
1.3,16726.427618461537
1.2,23100.03997
1.1,44316.52200363636
1.0,93292.7776
0.9,47762.47066666666
0.8,51273.469194999925
0.7,28102.950805714354
0.6,36553.89269333314
0.5,1156.4697279999964
0.4,188.2949999999255
0.3,28.06101333194723
0.2,1.0038199997507036
0.1,0.0
