h,M,M_var,M_s,M_s_var,E
0.0,-0.066,3.183644,2498.302,3.4247959991917014,-4993.336
0.5,1.932,5.3153760000000005,2497.28,5.873599998652935,-4991.246
1.0,6.246,13.863483999999993,2493.39,14.399900000542402,-4980.018
1.5,16.996,33.75198400000005,2482.648,34.66009599994868,-4949.462
2.0,44.614,81.02700400000049,2454.878,85.0091159986332,-4896.748
2.5,120.09,226.11589999999887,2377.466,246.47084400057793,-4779.425
3.0,319.632,653.5365759999986,2151.056,1431.8688639998436,-4570.52
3.5,905.616,1074.6045440000016,-0.084,89114.168944,-4269.812
4.0,1358.456,803.4720640003216,2.624,9552.298624,-4292.784
4.5,1748.186,691.3214040002786,-3.182,2881.758876,-4495.845
5.0,2076.76,570.9423999991268,-1.936,1206.763904,-4827.628
5.5,2298.438,344.64415599871427,-0.562,467.984156,-5143.053
6.0,2415.426,152.13852400053293,0.198,184.22079599999998,-5384.736
6.5,2467.586,62.52860400173813,-0.01,63.3719,-5509.953
7.0,2487.888,23.947456000372767,0.232,26.274176,-5566.664
7.5,2495.524,9.589424000121653,0.06,8.452399999999999,-5591.334
8.0,2498.422,3.4099160004407167,0.062,2.984156,-5603.688
8.5,2499.4,1.2319999998435378,0.032,1.174976,-5607.3
9.0,2499.74,0.5644000014290214,0.0,0.552,-5608.7
9.5,2499.928,0.14681600034236908,0.008,0.151936,-5609.604
10.0,2499.978,0.04351599980145693,0.002,0.043996,-5609.868
