t,max_h,M_s
1020.0,5.979049830575188,1664.0
1040.0,6.079302976946054,1646.0
1060.0,6.178596130903343,1634.0
1080.0,6.276913612907005,1650.0
1100.0,6.374239897486897,1708.0
1120.0,6.470559615694443,1690.0
1140.0,6.565857557529565,1666.0
1160.0,6.660118674342516,1690.0
1180.0,6.7533280812102445,1712.0
1200.0,6.845471059286886,1732.0
1220.0,6.936533058128049,1722.0
1240.0,7.026499697988492,1690.0
1260.0,7.115356772092854,1678.0
1280.0,7.20309024887907,1684.0
1300.0,7.289686274214114,1686.0
1320.0,7.375131173581738,1688.0
1340.0,7.459411454241821,1680.0
1360.0,7.542513807361038,1654.0
1380.0,7.624425110114479,1658.0
1400.0,7.705132427757891,1632.0
1420.0,7.784623015670235,1656.0
1440.0,7.862884321366189,1678.0
1460.0,7.939903986478354,1634.0
1480.0,8.015669848708765,1608.0
1500.0,8.090169943749475,1644.0
1520.0,8.163392507171839,1608.0
1540.0,8.235325976284274,1620.0
1560.0,8.305958991958125,1624.0
1580.0,8.375280400421417,1602.0
1600.0,8.443279255020151,1630.0
1620.0,8.509944817946918,1600.0
1640.0,8.575266561936521,1602.0
1660.0,8.639234171928353,1598.0
1680.0,8.701837546695257,1588.0
1700.0,8.763066800438637,1580.0
1720.0,8.822912264349533,1620.0
1740.0,8.881364488135445,1564.0
1760.0,8.938414241512637,1552.0
1780.0,8.994052515663709,1552.0
1800.0,9.048270524660197,1488.0
1820.0,9.101059706849956,1486.0
1840.0,9.152411726209175,1450.0
1860.0,9.202318473658703,1400.0
1880.0,9.250772068344581,1504.0
1900.0,9.297764858882514,1392.0
1920.0,9.34328942456612,1302.0
1940.0,9.38733857653874,1324.0
1960.0,9.429905358928645,1232.0
1980.0,9.470983049947444,1222.0
2000.0,9.510565162951535,1178.0
2020.0,9.548645447466429,1200.0
2040.0,9.585217890173759,1224.0
2060.0,9.620276715860859,1200.0
2080.0,9.65381638833274,1234.0
2100.0,9.68583161128631,1208.0
2120.0,9.716317329146738,1198.0
2140.0,9.74526872786577,1092.0
2160.0,9.772681235681935,1044.0
2180.0,9.798550523842469,992.0
2200.0,9.822872507286887,976.0
2220.0,9.845643345292054,892.0
2240.0,9.866859442078681,812.0
2260.0,9.886517447379141,834.0
2280.0,9.904614256966513,766.0
2300.0,9.921147013144777,752.0
2320.0,9.936113105200084,694.0
2340.0,9.949510169813001,668.0
2360.0,9.961336091431725,702.0
2380.0,9.97158900260614,646.0
2400.0,9.980267284282716,582.0
2420.0,9.987369566060174,394.0
2440.0,9.992894726405892,420.0
2460.0,9.996841892833,352.0
2480.0,9.99921044203816,350.0
2500.0,10.0,392.0
2520.0,9.99921044203816,360.0
2540.0,9.996841892833,336.0
2560.0,9.992894726405892,368.0
2580.0,9.987369566060174,394.0
2600.0,9.980267284282716,322.0
2620.0,9.97158900260614,276.0
2640.0,9.961336091431725,132.0
2660.0,9.949510169813001,166.0
2680.0,9.936113105200084,206.0
2700.0,9.921147013144777,188.0
2720.0,9.904614256966513,172.0
2740.0,9.886517447379141,152.0
2760.0,9.866859442078681,34.0
2780.0,9.845643345292054,-56.0
2800.0,9.822872507286887,-6.0
2820.0,9.798550523842469,10.0
2840.0,9.772681235681935,10.0
2860.0,9.74526872786577,-26.0
2880.0,9.71631732914674,-72.0
2900.0,9.685831611286313,-56.0
2920.0,9.65381638833274,40.0
2940.0,9.620276715860859,-16.0
2960.0,9.585217890173759,-8.0
