p3,frac,var
0.0,0.0,0.0
0.005,0.0,0.0
0.01,0.0,0.0
0.015,0.0,0.0
0.02,0.0,0.0
0.025,0.0,0.0
0.03,0.0,0.0
0.035,0.0,0.0
0.04,0.0,0.0
0.045,0.0,0.0
0.05,0.00022380000000000005,7.722167024000002e-09
0.055,0.01876428,2.8569108003263995e-07
0.06,0.027509879999999997,3.641591641542401e-07
0.065,0.05662547999999999,1.6884934030784033e-07
0.07,0.061645040000000005,1.3752986375936e-07
0.075,0.06650820000000002,1.2382274110399918e-07
0.08,0.0716326,1.0838844529599961e-07
0.085,0.07638479999999999,1.0319272678400056e-07
0.09,0.08102955999999999,9.8490543282561e-08
0.095,0.08606304000000001,8.799588878335914e-08
0.1,0.0903952,8.637787238399975e-08
