p2,p3,frac
0.0,0.0,0.0
0.0,0.02,0.0
0.0,0.04,0.0
0.0,0.06,0.0
0.0,0.08,0.0
0.0,0.1,0.0
0.0,0.12,0.0
0.0,0.14,0.0
0.0,0.16,0.0
0.0,0.18,0.0
0.0,0.2,0.0
0.0,0.22,0.0
0.0,0.24,0.0
0.0,0.26,0.0
0.0,0.28,0.0
0.0,0.3,0.0
0.02,0.0,0.0
0.02,0.02,0.0
0.02,0.04,0.0
0.02,0.06,0.0
0.02,0.08,0.0
0.02,0.1,0.0
0.02,0.12,0.0
0.02,0.14,0.0
0.02,0.16,0.0
0.02,0.18,0.0
0.02,0.2,0.0
0.02,0.22,0.0
0.02,0.24,0.0
0.02,0.26,0.0
0.02,0.28,0.0
0.02,0.3,0.0
0.04,0.0,6.840000000000002e-05
0.04,0.02,0.0
0.04,0.04,0.0
0.04,0.06,0.0
0.04,0.08,0.0
0.04,0.1,0.0
0.04,0.12,0.0
0.04,0.14,0.0
0.04,0.16,0.0
0.04,0.18,0.0
0.04,0.2,0.0
0.04,0.22,0.0
0.04,0.24,0.0
0.04,0.26,0.0
0.04,0.28,0.0
0.04,0.3,0.0001752
0.06,0.0,9.600000000000001e-06
0.06,0.02,0.0
0.06,0.04,0.0
0.06,0.06,0.0
0.06,0.08,0.0
0.06,0.1,0.0
0.06,0.12,0.0
0.06,0.14,0.0
0.06,0.16,0.0
0.06,0.18,0.0
0.06,0.2,0.0
0.06,0.22,0.040272800000000004
0.06,0.24,0.0001512
0.06,0.26,0.044870400000000005
0.06,0.28,0.0460312
0.06,0.3,0.047275599999999994
0.08,0.0,8.8e-06
0.08,0.02,0.0
0.08,0.04,0.0
0.08,0.06,0.0
0.08,0.08,0.0
0.08,0.1,0.0
0.08,0.12,0.0
0.08,0.14,0.0
0.08,0.16,0.04247839999999999
0.08,0.18,0.047244
0.08,0.2,0.0525188
0.08,0.22,0.05379640000000001
0.08,0.24,0.0577076
0.08,0.26,0.0600396
0.08,0.28,0.063158
0.08,0.3,0.0651448
0.1,0.0,0.0
0.1,0.02,0.0
0.1,0.04,0.0
0.1,0.06,0.0
0.1,0.08,0.0
0.1,0.1,0.0
0.1,0.12,0.0386328
0.1,0.14,0.04811320000000001
0.1,0.16,0.055803599999999995
0.1,0.18,0.061635199999999994
0.1,0.2,0.06611959999999999
0.1,0.22,0.0692648
0.1,0.24,0.0724188
0.1,0.26,0.07678839999999999
0.1,0.28,0.07980920000000001
0.1,0.3,0.0827776
0.12,0.0,0.0
0.12,0.02,0.0
0.12,0.04,0.0
0.12,0.06,0.0012596
0.12,0.08,0.0
0.12,0.1,0.0
0.12,0.12,0.053649199999999994
0.12,0.14,0.058075199999999993
0.12,0.16,0.0682476
0.12,0.18,0.0726692
0.12,0.2,0.0786204
0.12,0.22,0.0830616
0.12,0.24,0.088808
0.12,0.26,0.09334519999999999
0.12,0.28,0.09613239999999999
0.12,0.3,0.09845000000000001
0.14,0.0,0.0
0.14,0.02,0.0
0.14,0.04,0.0
0.14,0.06,0.0
0.14,0.08,0.0421156
0.14,0.1,0.057796400000000005
0.14,0.12,0.0663416
0.14,0.14,0.0722424
0.14,0.16,0.0800828
0.14,0.18,0.0859524
0.14,0.2,0.09249600000000001
0.14,0.22,0.09724879999999998
0.14,0.24,0.10197919999999999
0.14,0.26,0.1069588
0.14,0.28,0.11302799999999999
0.14,0.3,0.1154196
0.16,0.0,0.0
0.16,0.02,0.0
0.16,0.04,0.0
0.16,0.06,0.0
0.16,0.08,0.0590804
0.16,0.1,0.0689464
0.16,0.12,0.0801588
0.16,0.14,0.0847732
0.16,0.16,0.09094479999999999
0.16,0.18,0.09830839999999999
0.16,0.2,0.10297440000000001
0.16,0.22,0.1095708
0.16,0.24,0.1146116
0.16,0.26,0.1215792
0.16,0.28,0.1261412
0.16,0.3,0.1305136
0.18,0.0,0.0
0.18,0.02,0.0
0.18,0.04,0.0
0.18,0.06,0.0558396
0.18,0.08,0.06812359999999999
0.18,0.1,0.0832488
0.18,0.12,0.0933328
0.18,0.14,0.09686199999999999
0.18,0.16,0.1047748
0.18,0.18,0.1095332
0.18,0.2,0.1158168
0.18,0.22,0.122994
0.18,0.24,0.12953640000000002
0.18,0.26,0.1346
0.18,0.28,0.13962639999999998
0.18,0.3,0.14415640000000002
0.2,0.0,0.0
0.2,0.02,0.0
0.2,0.04,0.042574799999999996
0.2,0.06,0.06605760000000001
0.2,0.08,0.0804612
0.2,0.1,0.0933176
0.2,0.12,0.1064812
0.2,0.14,0.110322
0.2,0.16,0.1157336
0.2,0.18,0.12011240000000001
0.2,0.2,0.1274004
0.2,0.22,0.1353796
0.2,0.24,0.1408768
0.2,0.26,0.1462852
0.2,0.28,0.1525996
0.2,0.3,0.15659
0.22,0.0,0.0
0.22,0.02,0.0
0.22,0.04,0.0381632
