kBT,M,chi
1.0,2498.29,0.0013759600002318621
1.1,2496.208,0.003018449454144998
1.2,2492.758,0.005628478667077919
1.3,2486.762,0.010473647999648865
1.4,2478.628,0.01572046171394842
1.5,2466.338,0.026780201599746943
1.6,2449.008,0.042653984000207854
1.7,2425.226,0.0665762174116338
1.8,2391.288,0.1071211235554268
1.9,2346.698,0.20885322021065575
2.0,2276.19,0.3723839800000191
2.1,2175.12,0.8905237333334628
2.2,1976.95,2.8549260909090837
2.3,1152.536,51.61945612243478
2.4,548.92,26.831542933333346
2.5,300.368,7.239576412160001
2.6,225.016,4.354562422153847
2.7,207.102,3.4094384586666666
2.8,157.842,2.0440324337142854
2.9,145.0,1.7107188965517242
3.0,138.11,1.397853853333333
