kBT,M,chi
1.0,2482.27,6.256292439999804
1.1,-2439.548,36.25670825309137
1.2,-659.294,419.800691188
1.3,-181.602,85.68672172184614
1.4,2477.494,0.07441027542842286
1.5,79.832,98.63861647360001
1.6,2153.462,82.1083806390001
1.7,2417.83,1.0916703764708604
1.8,2209.328,62.971344981333445
1.9,-2345.25,0.23898473684215232
2.0,-2222.484,14.565951548800058
2.1,2165.292,2.3823593782858836
2.2,1730.542,63.092574224727315
2.3,-969.996,162.4834448667826
2.4,-409.524,42.10400623733334
2.5,-41.224,24.49541085184
2.6,-40.206,14.291446394461538
2.7,14.138,9.514873030518517
2.8,18.174,6.742759674857143
2.9,-2.29,4.737073641379309
