kBT,E,C,sigma
1.0,-4741.16,0.06117056000083685,6.129409671002534e-05
1.1,-4896.504,5.161648259173986,0.00517198792824658
1.2,-4696.072,0.1113763377774093,0.00011159894574670759
1.3,-4950.952,0.09846667360889136,9.866342918493642e-05
1.4,-4916.292,0.2577230073465985,0.0002582388454965556
1.5,-4872.736,0.3875047651555803,0.0003882809804475196
1.6,-4813.344,0.7775427600002149,0.0007791003730585055
1.7,-4619.568,4.013624550310901,0.004021663312217427
1.8,-4643.552,0.5275959624695006,0.0005286531348641654
1.9,-4514.176,0.8050882021046741,0.0008067002174143578
2.0,-4347.996,1.0971471983999015,0.0010993447148386348
2.1,-4126.64,1.7761848888885812,0.0017797422837066978
2.2,-3853.672,1.564510778181778,0.001567644479467445
2.3,-3414.456,1.9094490785633405,0.0019132737185558746
2.4,-3001.896,1.1445948044443504,0.0011468873314488537
2.5,-2768.308,0.8073964247040153,0.0008090136601121012
2.6,-2577.448,0.6776605500592217,0.0006790179585848266
2.7,-2410.636,0.6223334707270168,0.0006235800010212511
2.8,-2271.932,0.5051989477551162,0.000506210876242752
2.9,-2152.644,0.44816671885851234,0.0004490644072733807
