kBT,E,C,sigma
1.0,-4720.156,1.1314526656001807,0.16834238786512934
1.1,-4721.016,0.09039065917538217,0.003815149577080748
1.2,-4697.336,0.09563752888805337,0.0043360261597873645
1.3,-4665.192,0.13919127479283766,0.006251599643815758
1.4,-4623.612,0.18082478693857484,0.00853194639910959
1.5,-4568.624,0.24967299982243113,0.010710950216164474
1.6,-4506.472,0.28731018999998925,0.01372496300128332
1.7,-4415.708,0.3560031468516609,0.014867469467085627
1.8,-4305.1,0.5477439506172582,0.027035525131450345
1.9,-4174.368,0.6058185679777177,0.027878843553350904
2.0,-3996.188,0.7644812656000256,0.035035874036381524
2.1,-3800.076,0.9216676847165336,0.04104654567592036
2.2,-3517.724,1.1199672581817306,0.04874165557829607
2.3,-3235.964,1.0891867451040191,0.046437496456061114
2.4,-2967.52,0.9659306666666332,0.04353990627416695
2.5,-2744.78,0.8259737343999743,0.040396298942944525
2.6,-2558.724,0.7217564392898826,0.032208030648032585
2.7,-2403.96,0.5524208724280035,0.023253166747691782
2.8,-2258.856,0.5070875134693021,0.02214778949983843
2.9,-2143.112,0.4279893201426575,0.019316161625654818
