pS_I,I_var,I_err
0.2,0.0,0.0
0.21,0.0,0.0
0.22,0.0,0.0
0.23,0.0,0.0
0.24,7.043590000000001e-05,2.5650570300670986e-05
0.25,0.0,0.0
0.26,0.0005180900440000001,8.278941397642788e-05
0.27,0.000398166524,6.925113962669925e-05
0.28,0.0030922236,0.0007538504359710182
0.29,0.0500591599,0.004389727480702524
0.3,0.068669650304,0.0045329021131581115
0.31,0.24155153983600003,0.013234893063655655
0.32,0.7927009975959983,0.011370857958270399
0.33,0.7180503737240012,0.010450944224213356
0.34,0.6960635739159945,0.010231735353448972
0.35,0.5735745995360078,0.00817707648795166
0.36,0.6114739737440017,0.008417998661892282
0.37,0.5347368422359927,0.007441259972986786
0.38,0.5714223212640034,0.007808945578074552
0.39,0.5123255895639887,0.007293073524576932
0.4,0.5042290060639963,0.00724259968148926
0.41,0.49165025849599625,0.006974048750041171
0.42,0.47543698929597156,0.006893461588739879
0.43,0.45819831000000705,0.00654209916803391
0.44,0.4636079863640014,0.006546513218174166
0.45,0.4577805547359865,0.0064931149518483635
0.46,0.4472175886040088,0.006235774145734608
0.47,0.4387020700760186,0.0064515033903264195
0.48,0.4306461492440198,0.006047166357010424
0.49,0.4477326175000053,0.0062880041376877464
0.5,0.4388278523999732,0.006388142015864236
