f_imm,I_frac
0.0,0.2549392
0.02,0.24377600000000002
0.04,0.23225279999999998
0.06,0.21728519999999998
0.08,0.2032052
0.1,0.18586
0.12,0.1753204
0.14,0.15642
0.16,0.1389404
0.18,0.1277312
0.2,0.1028844
0.22,0.07221079999999999
0.24,0.048206
0.26,0.0250924
0.28,0.0009768
0.3,4.32e-05
0.32,0.0005092
0.34,3.5199999999999995e-05
0.36,0.0001508
0.38,6.4e-06
0.4,0.0
0.42,4.44e-05
0.44,0.0
0.46,0.0
0.48,0.0
0.5,0.0
0.52,0.0
0.54,0.0
0.56,0.0
0.58,0.0
0.6,0.0
0.62,0.0
0.64,0.0
0.66,0.0
0.68,0.0
0.7,0.0
0.72,0.0
0.74,0.0
0.76,0.0
0.78,0.0
0.8,0.0
0.82,0.0
0.84,0.0
0.86,0.0
0.88,0.0
0.9,0.0
0.92,0.0
0.94,0.0
0.96,0.0
0.98,0.0
1.0,0.0
