pS_I,I_var,I_err
0.2,0.0,0.0
0.21,0.0,0.0
0.22,0.0,0.0
0.23,0.0,0.0
0.24,0.0,0.0
0.25,-0.00012480000000000002,3.841406004636128e-05
0.26,-1.6400000000000002e-05,7.0510599906839554e-06
0.27,-0.00164672,0.00027491282178229823
0.28,-0.022688319999999998,0.002324266333605844
0.29,-0.00434736,0.0006364093417156312
0.3,-0.0444864,0.002769267289858456
0.31,-0.70368096,0.0220294842806806
0.32,-15.441342480000001,0.06657861365830453
0.33,-25.07918784,0.08558254352961332
0.34,-35.07017696,0.09470901497347972
0.35,-44.897754799999994,0.10051041524959556
0.36,-54.34562176,0.10826212207480118
0.37,-63.5147432,0.1167424133922568
0.38,-72.19134423999999,0.12256328296324322
0.39,-81.82920824,0.13325446259769494
0.4,-91.47756408,0.1368106326698378
0.41,-98.74242904,0.13901217513539038
0.42,-106.85629023999999,0.1396316256237561
0.43,-114.10693807999998,0.14535855264557684
0.44,-122.77751160000001,0.1482220259092707
0.45,-128.85871472,0.15456496535856987
0.46,-136.44315208,0.15504211389634992
0.47,-142.92451736,0.1593721426212315
0.48,-149.95574864,0.16306512649224206
0.49,-156.84284872,0.16344137133395212
0.5,-162.55128224,0.1663104487613474
