time,f
0,-247.30742220945433
1,-256.01859680396456
2,-260.7875710710358
3,-263.7278866256382
4,-265.7018778389379
5,-267.11205621862905
6,-268.16750670171905
7,-268.98641531306913
8,-269.64019578187936
9,-270.17436110231995
10,-270.6192022125242
11,-270.9956170885479
12,-271.3184675309743
13,-271.59860062190205
14,-271.8441131020435
15,-272.06116847001647
16,-272.2545402996744
17,-272.42798270844685
18,-272.58448867580756
19,-272.7264737992143
20,-272.8559093790451
21,-272.9744203801006
22,-273.08335860556554
23,-273.183858089599
24,-273.27687754294595
25,-273.3632332422798
26,-273.44362477735746
27,-273.5186553986181
28,-273.58884823926394
29,-273.65465935426835
30,-273.7164882810753
31,-273.7746866543429
32,-273.8295652806232
33,-273.88139998515885
34,-273.9304364728555
35,-273.97689439255976
36,-274.02097075347206
37,-274.06284281161004
38,-274.1026705203385
39,-274.1405986203864
40,-274.1767584301997
41,-274.2112693859955
42,-274.24424037177545
43,-274.2757708722954
44,-274.3059519761671
45,-274.3348672515759
46,-274.36259351330375
47,-274.389201496651
48,-274.4147564513308
49,-274.43931866633204
50,-274.4629439350408
51,-274.4856839684949
52,-274.50758676346913
53,-274.52869693111023
54,-274.5490559910205
55,-274.5687026349947
56,-274.58767296403937
57,-274.60600070180715
58,-274.62371738716377
59,-274.64085254824846
60,-274.65743386008637
61,-274.67348728755076
62,-274.6890372152494
63,-274.7041065657188
64,-274.71871690714147
65,-274.7328885516603
66,-274.7466406452386
67,-274.7599912499029
68,-274.7729574191178
69,-274.7855552669514
70,-274.7978000316237
71,-274.8097061339636
72,-274.8212872312451
73,-274.8325562668242
74,-274.8435255159543
75,-274.85420662811873
76,-274.86461066618693
77,-274.8747481426682
78,-274.8846290533111
79,-274.89426290827305
80,-274.90365876106284
81,-274.91282523543856
82,-274.9217705504289
83,-274.9305025436275
84,-274.9390286928992
85,-274.9473561366218
86,-274.95549169257805
87,-274.9634418756016
88,-274.97121291407177
89,-274.97881076534406
90,-274.9862411301947
91,-274.9935094663532
92,-275.0006210011891
93,-275.00758074361283
94,-275.01439349524924
95,-275.0210638609325
96,-275.02759625857175
97,-275.03399492843107
98,-275.04026394186275
99,-275.04640720953245
100,-275.0524284891696
101,-275.05833139287506
102,-275.064119394015
103,-275.06979583372896
104,-275.0753639270756
105,-275.0808267688409
106,-275.0861873390293
107,-275.09144850805865
108,-275.0966130416763
109,-275.1016836056149
110,-275.10666277000325
111,-275.1115530135469
112,-275.1163567274924
113,-275.1210762193896
114,-275.12571371666127
115,-275.1302713699936
116,-275.13475125655776
117,-275.13915538307083
118,-275.14348568870673
119,-275.14774404786596
120,-275.1519322728098
121,-275.1560521161698
122,-275.1601052733369
123,-275.16409338473755
124,-275.1680180380042
125,-275.17188077004363
126,-275.1756830690107
127,-275.1794263761914
128,-275.18311208780017
129,-275.1867415566961
130,-275.1903160940228
131,-275.19383697077467
132,-275.1973054192939
133,-275.20072263470297
134,-275.2040897762732
135,-275.2074079687356
136,-275.21067830353434
137,-275.2139018400274
138,-275.2170796066362
139,-275.2202126019469
140,-275.22330179576534
141,-275.2263481301288
142,-275.2293525202757
143,-275.2323158555754
144,-275.2352390004204
145,-275.2381227950825
146,-275.24096805653426
147,-275.243775579238
148,-275.24654613590286
149,-275.2492804782132
150,-275.2519793375268
151,-275.2546434255472
152,-275.25727343496953
153,-275.2598700401011
154,-275.2624338974588
155,-275.2649656463434
156,-275.2674659093924
157,-275.26993529311164
158,-275.2723743883878
159,-275.2747837709806
160,-275.27716400199824
161,-275.27951562835426
162,-275.281839183208
163,-275.28413518638945
164,-275.2864041448082
165,-275.2886465528477
166,-275.29086289274596
167,-275.293053634962
168,-275.2952192385296
169,-275.29736015139906
170,-275.299476810766
171,-275.3015696433896
172,-275.30363906589935
173,-275.30568548509154
174,-275.30770929821495
175,-275.30971089324754
176,-275.3116906491633
177,-275.3136489361903
178,-275.31558611605954
179,-275.3175025422464
180,-275.31939856020324
181,-275.3212745075845
182,-275.3231307144648
183,-275.3249675035492
184,-275.326785190377
185,-275.328584083519
186,-275.33036448476804
187,-275.33212668932373
188,-275.3338709859712
189,-275.3355976572538
190,-275.3373069796408
191,-275.3389992236896
192,-275.34067465420264
193,-275.34233353037996
194,-275.34397610596625
195,-275.34560262939374
196,-275.3472133439212
