i,j,phi,Ex,Ey
0,0,0.0,-0.0,-0.0
0,1,0.0,-0.0,-4.652726336323907e-06
0,2,0.0,-0.0,-9.3250854410017e-06
0,3,0.0,-0.0,-1.4033482069165098e-05
0,4,0.0,-0.0,-1.879257607717384e-05
0,5,0.0,-0.0,-2.3614390729505023e-05
0,6,0.0,-0.0,-2.8507392360328526e-05
0,7,0.0,-0.0,-3.347554294114641e-05
0,8,0.0,-0.0,-3.8517337030086765e-05
0,9,0.0,-0.0,-4.362484721259492e-05
0,10,0.0,-0.0,-4.878281725488905e-05
0,11,0.0,-0.0,-5.3967859109665495e-05
0,12,0.0,-0.0,-5.9147827332524796e-05
0,13,0.0,-0.0,-6.428146027296479e-05
0,14,0.0,-0.0,-6.931838858450283e-05
0,15,0.0,-0.0,-7.419961433652028e-05
0,16,0.0,-0.0,-7.885855405292075e-05
0,17,0.0,-0.0,-8.32227124058409e-05
0,18,0.0,-0.0,-8.721600755710689e-05
0,19,0.0,-0.0,-9.076170461932401e-05
0,20,0.0,-0.0,-9.37858349703727e-05
0,21,0.0,-0.0,-9.622089576792087e-05
0,22,0.0,-0.0,-9.800955011408749e-05
0,23,0.0,-0.0,-9.91080004823619e-05
0,24,0.0,-0.0,-9.948870137368628e-05
0,25,0.0,-0.0,-9.914212064126715e-05
0,26,0.0,-0.0,-9.807735115168591e-05
0,27,0.0,-0.0,-9.632150230480875e-05
0,28,0.0,-0.0,-9.391794186825245e-05
0,29,0.0,-0.0,-9.09235864373442e-05
0,30,0.0,-0.0,-8.740553106001955e-05
0,31,0.0,-0.0,-8.343735203948897e-05
0,32,0.0,-0.0,-7.909541028324661e-05
0,33,0.0,-0.0,-7.445543473008673e-05
0,34,0.0,-0.0,-6.958959149158999e-05
0,35,0.0,-0.0,-6.456416095876734e-05
0,36,0.0,-0.0,-5.943786638790151e-05
0,37,0.0,-0.0,-5.426083296032998e-05
0,38,0.0,-0.0,-4.907411057688191e-05
0,39,0.0,-0.0,-4.390966705231724e-05
0,40,0.0,-0.0,-3.879074841904647e-05
0,41,0.0,-0.0,-3.373250578879213e-05
0,42,0.0,-0.0,-2.874279940282415e-05
0,43,0.0,-0.0,-2.3823106307921588e-05
0,44,0.0,-0.0,-1.8969475515232893e-05
0,45,0.0,-0.0,-1.4173491418248577e-05
0,46,0.0,-0.0,-9.423221358548495e-06
0,47,0.0,-0.0,-4.704135862878374e-06
0,48,0.0,-0.0,-0.0
1,0,0.0,-4.652726336323907e-06,-0.0
1,1,9.305452672647815e-06,-9.3250854410017e-06,-9.3250854410017e-06
1,2,1.86501708820034e-05,-9.38075573284119e-06,-1.869047280172184e-05
1,3,2.8066964138330196e-05,-9.46749063617214e-06,-2.8130035688458855e-05
1,4,3.758515215434768e-05,-9.580908660339925e-06,-3.767417044361535e-05
1,5,4.7228781459010046e-05,-9.714816283154686e-06,-4.734801217255171e-05
1,6,5.701478472065705e-05,-9.861152211641385e-06,-5.716958519029843e-05
1,7,6.695108588229282e-05,-1.0009944669758239e-05,-6.714788805997072e-05
1,8,7.703467406017353e-05,-1.0149304271448512e-05,-7.728093332494172e-05
1,9,8.724969442518984e-05,-1.0265480224802284e-05,-8.755378769617361e-05
1,10,9.75656345097781e-05,-1.0343011897070574e-05,-9.793668956948482e-05
1,11,0.00010793571821933099,-1.0365010077635747e-05,-0.00010838335617459039
1,12,0.00011829565466504959,-1.0313601163299297e-05,-0.00011882962995705535
1,13,0.00012856292054592958,-1.0170561251978038e-05,-0.00012919264880414402
1,14,0.00013863677716900567,-9.918154063555488e-06,-0.00013937075129131108
1,15,0.00014839922867304056,-9.540165468417919e-06,-0.00014924433816965345
1,16,0.0001577171081058415,-9.02309806932062e-06,-0.0001586778954901386
