w,iters
1.8,136
1.8024,134
1.8049,133
1.8073,131
1.8098,129
1.8122,128
1.8147,126
1.8171,124
1.8196,122
1.822,121
1.8245,119
1.8269,117
1.8294,115
1.8318,114
1.8343,112
1.8367,110
1.8392,108
1.8416,107
1.8441,105
1.8465,103
1.849,101
1.8514,99
1.8539,97
1.8563,95
1.8588,93
1.8612,91
1.8637,92
1.8661,92
1.8686,93
1.871,93
1.8735,93
1.8759,94
1.8784,94
1.8808,99
1.8833,99
1.8857,100
1.8882,104
1.8906,104
1.8931,104
1.8955,104
1.898,108
1.9004,111
1.9029,112
1.9053,113
1.9078,116
1.9102,119
1.9127,126
1.9151,130
1.9176,131
1.92,141
