i,j,r,pot,Fieldx,Fieldy
0,0,33.94112549695428,0.0,0.0,-0.0
0,1,33.24154027718932,0.0,0.00023709085789261672,-0.0
0,2,32.55764119219941,0.0,0.0004741869470890564,-0.0
0,3,31.89043743820395,0.0,0.0007112634729360756,-0.0
0,4,31.240998703626616,0.0,0.000948245448736181,-0.0
0,5,30.610455730027933,0.0,0.001184982673155298,-0.0
0,6,30.0,0.0,0.001421224925298144,-0.0
0,7,29.410882339705484,0.0,0.001656597703079592,-0.0
0,8,28.844410203711913,0.0,0.0018905790444308718,-0.0
0,9,28.30194339616981,0.0,0.002122478228507868,-0.0
0,10,27.784887978899608,0.0,0.0023514174441042488,-0.0
0,11,27.294688127912362,0.0,0.0025763178117963344,-0.0
0,12,26.832815729997478,0.0,0.00279589142126929,-0.0
0,13,26.40075756488817,0.0,0.003008641249163726,-0.0
0,14,26.0,0.0,0.0032128708953858658,-0.0
0,15,25.632011235952593,0.0,0.0034067059495305366,-0.0
0,16,25.298221281347036,0.0,0.0035881284064136114,-0.0
0,17,25.0,0.0,0.003755024838260765,-0.0
0,18,24.73863375370596,0.0,0.0039052479838390117,-0.0
0,19,24.515301344262525,0.0,0.004036690070690262,-0.0
0,20,24.331050121192877,0.0,0.004147364659059639,-0.0
0,21,24.186773244895647,0.0,0.004235492278316681,-0.0
0,22,24.08318915758459,0.0,0.00429958387574331,-0.0
0,23,24.020824298928627,0.0,0.004338515392622449,-0.0
0,24,24.0,0.0,0.004351586861563372,-0.0
0,25,24.020824298928627,0.0,0.004338560403322261,-0.0
0,26,24.08318915758459,0.0,0.004299673338680212,-0.0
0,27,24.186773244895647,0.0,0.00423562507981281,-0.0
0,28,24.331050121192877,0.0,0.004147539136749506,-0.0
0,29,24.515301344262525,0.0,0.004036904023296874,-0.0
0,30,24.73863375370596,0.0,0.0039054986841412305,-0.0
0,31,25.0,0.0,0.003755309049218125,-0.0
0,32,25.298221281347036,0.0,0.0035884424003476923,-0.0
0,33,25.632011235952593,0.0,0.003407045530316453,-0.0
0,34,26.0,0.0,0.003213231423593081,-0.0
0,35,26.40075756488817,0.0,0.003009017670020079,-0.0
0,36,26.832815729997478,0.0,0.002796278295315428,-0.0
0,37,27.294688127912362,0.0,0.002576709348114952,-0.0
0,38,27.784887978899608,0.0,0.0023518075360208514,-0.0
0,39,28.30194339616981,0.0,0.0021228604916744723,-0.0
0,40,28.844410203711913,0.0,0.001890946857067998,-0.0
0,41,29.410882339705484,0.0,0.0016569442481300625,-0.0
0,42,30.0,0.0,0.0014215432343906828,-0.0
0,43,30.610455730027933,0.0,0.0011852656722154242,-0.0
0,44,31.240998703626616,0.0,0.0009484860050834368,-0.0
0,45,31.89043743820395,0.0,0.0007114544437173035,-0.0
0,46,32.55764119219941,0.0,0.00047432122863065715,-0.0
0,47,33.24154027718932,0.0,0.0002371614358354954,-0.0
0,48,33.94112549695428,0.0,0.0,-0.0
1,0,33.24154027718932,0.0,0.0,-0.00023709085789261672
1,1,32.526911934581186,0.00047418171578523345,0.00047418694708905364,-0.0004741869470890564
1,2,31.827660925679098,0.0009483738941781128,0.0009484091923687995,-0.00047417261504345884
1,3,31.144823004794873,0.0014225269458721511,0.001422642210951693,-0.00047405850164712463
1,4,30.479501308256342,0.001896490897472362,0.0018967610411303219,-0.00047371920021922244
1,5,29.832867780352597,0.002369965346310596,0.002370490076028428,-0.00047297947656196307
1,6,29.206163733020468,0.002842449850596288,0.0028433531280155485,-0.00047161502992429404
1,7,28.600699292150182,0.003313195406159184,0.0033146243663582952,-0.0004693541191327277
1,8,28.0178514522438,0.0037811580888617437,0.003783281162054588,-0.0004658805254282761
1,9,27.459060435491963,0.004244956457015736,0.004247960402999371,-0.00046083839967337695
1,10,26.92582403567252,0.0047028348882084976,0.004706920444217457,-0.0004538395832884663
1,11,26.419689627245813,0.005152635623592669,0.005158011490524771,-0.0004444739771650411
1,12,25.942243542145693,0.00559178284253858,0.005598657805991393,-0.0004323234373673915
